IncidentId,IncidentNumber,Park,Zone,Ride,Ticket,ReportedEmployee,IncidentAt,IncidentType,Severity,Status,ImpactMinutes,Description,ResolutionSummary
1,INC0000001,6,11,,4064,396,2026-05-26T21:27:00Z,LOST_CHILD,LOW,RESOLVED,13,child location support requested after queue handoff confusion,child was reunited with party after radio-assisted zone sweep
2,INC0000002,6,14,68,1802,332,2026-07-08T23:05:00Z,QUEUE_DISRUPTION,MEDIUM,RESOLVED,33,boarding lane disruption caused temporary hold at the platform,extra attendants reopened the merge lane and stabilized throughput
3,INC0000003,4,20,,,279,2026-05-11T20:41:00Z,FOOD_SPILL,MEDIUM,RESOLVED,21,condiment spill prompted rapid response from custodial crew,temporary routing was removed after cleanup inspection
4,INC0000004,3,29,,,167,2026-05-08T12:40:00Z,LOST_CHILD,LOW,RESOLVED,17,guardian reported missing child near a parade crossover point,the park-wide locate protocol resolved the incident within minutes
5,INC0000005,6,14,14,3450,332,2026-06-15T10:46:00Z,QUEUE_DISRUPTION,LOW,RESOLVED,12,queue line stalled after merge-point crowding increased wait times,queue control adjustments cleared the bottleneck
6,INC0000006,4,18,,,26,2026-07-11T21:03:00Z,GUEST_MEDICAL,MEDIUM,RESOLVED,50,guest reported dizziness while exiting the attraction,medical response closed the incident after hydration and observation
7,INC0000007,6,14,,1579,394,2026-06-21T21:58:00Z,FOOD_SPILL,CRITICAL,RESOLVED,167,condiment spill prompted rapid response from custodial crew,temporary routing was removed after cleanup inspection
8,INC0000008,5,5,46,,172,2026-05-26T22:53:00Z,RIDE_OUTAGE,LOW,RESOLVED,12,ride dispatch paused after restraint sensor mismatch,ride reopened after sensor calibration and supervisor sign-off
9,INC0000009,6,13,,,2,2026-05-11T02:56:00Z,SECURITY_ESCALATION,HIGH,RESOLVED,42,restricted-area access attempt triggered a localized security hold,supervisor intervention de-escalated the guest interaction without further disruption
10,INC0000010,3,8,,,197,2026-07-12T18:15:00Z,LOST_CHILD,LOW,RESOLVED,21,party separation reported near the character greeting area,child was reunited with party after radio-assisted zone sweep
11,INC0000011,3,26,,2329,361,2026-05-30T09:53:00Z,LOST_CHILD,LOW,RESOLVED,13,guardian reported missing child near a parade crossover point,child was reunited with party after radio-assisted zone sweep
12,INC0000012,4,18,,,25,2026-05-05T16:03:00Z,GUEST_MEDICAL,MEDIUM,RESOLVED,42,minor first-aid event reported near the attraction exit,first-aid team completed assessment and escorted the guest to rest area
13,INC0000013,6,14,,,184,2026-06-03T15:21:00Z,GUEST_MEDICAL,HIGH,RESOLVED,107,minor first-aid event reported near the attraction exit,guest party received follow-up support and relocation assistance
14,INC0000014,5,12,,3518,418,2026-07-09T11:44:00Z,FOOD_SPILL,LOW,RESOLVED,17,walkway cleanup required after beverage spill near ride exit,the spill response team cleared the hazard and restored access
15,INC0000015,2,16,83,3268,169,2026-05-26T11:47:00Z,WEATHER_DELAY,HIGH,RESOLVED,94,ride suspended after lightning alert reached the park perimeter,park operations delayed reopening until wind readings normalized
16,INC0000016,2,30,104,3965,265,2026-08-21T20:27:00Z,WEATHER_DELAY,HIGH,RESOLVED,47,storm band forced temporary outdoor attraction shutdown,park operations delayed reopening until wind readings normalized
17,INC0000017,5,9,,924,51,2026-08-19T15:22:00Z,COSTUME_MALFUNCTION,CRITICAL,RESOLVED,212,character performer requested backstage relief after visibility issue,entertainment leadership moved the greeting indoors and completed the set
18,INC0000018,4,18,,784,162,2026-05-02T19:00:00Z,LOST_CHILD,LOW,RESOLVED,8,guardian reported missing child near a parade crossover point,guest relations completed identity verification and family reunification
19,INC0000019,1,27,,,8,2026-06-25T10:18:00Z,GUEST_MEDICAL,LOW,RESOLVED,10,minor first-aid event reported near the attraction exit,guest party received follow-up support and relocation assistance
20,INC0000020,4,1,,,129,2026-05-21T16:35:00Z,FOOD_SPILL,MEDIUM,RESOLVED,46,condiment spill prompted rapid response from custodial crew,the spill response team cleared the hazard and restored access
21,INC0000021,3,3,,,68,2026-08-27T15:31:00Z,SECURITY_ESCALATION,HIGH,RESOLVED,110,restricted-area access attempt triggered a localized security hold,the incident was documented and the zone reopened after clearance
22,INC0000022,1,27,,,209,2026-06-14T23:00:00Z,GUEST_MEDICAL,CRITICAL,CLOSED_WITH_FOLLOWUP,239,guest reported dizziness while exiting the attraction,guest party received follow-up support and relocation assistance
23,INC0000023,2,4,80,,370,2026-08-08T09:14:00Z,QUEUE_DISRUPTION,LOW,RESOLVED,14,queue line stalled after merge-point crowding increased wait times,queue control adjustments cleared the bottleneck
24,INC0000024,1,25,24,,107,2026-07-03T00:45:00Z,QUEUE_DISRUPTION,LOW,RESOLVED,12,boarding lane disruption caused temporary hold at the platform,queue control adjustments cleared the bottleneck
25,INC0000025,1,23,,,407,2026-05-15T18:40:00Z,LOST_CHILD,MEDIUM,RESOLVED,53,guardian reported missing child near a parade crossover point,guest relations completed identity verification and family reunification
26,INC0000026,1,2,99,,368,2026-06-06T22:21:00Z,WEATHER_DELAY,CRITICAL,RESOLVED,174,operations paused because wind gusts exceeded operating limits,park operations delayed reopening until wind readings normalized
27,INC0000027,5,10,36,1720,299,2026-06-07T16:53:00Z,RIDE_OUTAGE,LOW,RESOLVED,10,ride control panel triggered a protective shutdown during load,ride reopened after sensor calibration and supervisor sign-off
28,INC0000028,3,8,98,2327,321,2026-06-12T20:43:00Z,RIDE_OUTAGE,HIGH,RESOLVED,97,ride control panel triggered a protective shutdown during load,maintenance reset the affected train and completed a test cycle
29,INC0000029,6,28,64,1809,394,2026-05-02T00:28:00Z,WEATHER_DELAY,LOW,RESOLVED,18,ride suspended after lightning alert reached the park perimeter,operations resumed after the weather window cleared and all checks passed
