RideId,RideCode,Zone,RideName,RideType,ThrillLevel,HeightRequirementCm,CapacityPerHour,OpeningDate,AccessibilitySupport,Status
1,RID00001,26,Harbor Swing,FAMILY_FLAT,2,14,863,2022-12-10T00:00:00Z,STANDARD,OPERATING
2,RID00002,4,Thunder Drop,COASTER,5,127,1209,2025-05-27T00:00:00Z,LIMITED,SEASONAL
3,RID00003,3,Mystic Drift,DARK_RIDE,3,17,1355,2025-01-07T00:00:00Z,STANDARD,OPERATING
4,RID00004,1,Sky Launch,DROP_TOWER,4,134,669,2023-06-24T00:00:00Z,STANDARD,LIMITED_HOURS
5,RID00005,27,Echo Drive,SIMULATOR,3,122,891,2024-10-27T00:00:00Z,ENHANCED,OPERATING
6,RID00006,29,Mystic Drift,DARK_RIDE,1,2,713,2024-09-20T00:00:00Z,ENHANCED,OPERATING
7,RID00007,7,Lagoon Chase,WATER_RIDE,3,126,1197,2023-02-03T00:00:00Z,PARTIAL,OPERATING
8,RID00008,8,Carousel Dash,FAMILY_FLAT,1,78,732,2022-11-11T00:00:00Z,STANDARD,OPERATING
9,RID00009,5,Whisper Cavern,DARK_RIDE,1,55,939,2025-01-12T00:00:00Z,STANDARD,OPERATING
10,RID00010,24,Velocity Run,COASTER,5,129,956,2025-09-13T00:00:00Z,STANDARD,OPERATING
11,RID00011,13,Echo Drive,SIMULATOR,3,108,568,2022-05-20T00:00:00Z,ENHANCED,OPERATING
12,RID00012,6,Vortex Strike,COASTER,4,136,1743,2024-08-15T00:00:00Z,LIMITED,OPERATING
13,RID00013,7,Pulse Launch,DROP_TOWER,5,128,461,2022-03-07T00:00:00Z,PARTIAL,OPERATING
14,RID00014,14,Whisper Drift,DARK_RIDE,2,14,902,2025-02-03T00:00:00Z,STANDARD,OPERATING
15,RID00015,5,Nova Jump,SIMULATOR,3,117,1124,2024-01-05T00:00:00Z,STANDARD,OPERATING
16,RID00016,30,Carousel Dash,FAMILY_FLAT,1,98,973,2025-05-07T00:00:00Z,STANDARD,OPERATING
17,RID00017,4,Breaker Sprint,WATER_RIDE,2,110,923,2024-10-22T00:00:00Z,STANDARD,OPERATING
18,RID00018,17,Mystic Voyage,DARK_RIDE,3,67,945,2023-07-10T00:00:00Z,STANDARD,SEASONAL
19,RID00019,15,Coral Surge,WATER_RIDE,4,111,922,2025-02-10T00:00:00Z,PARTIAL,OPERATING
20,RID00020,29,Festival Flight,FAMILY_FLAT,1,83,1039,2022-01-22T00:00:00Z,ENHANCED,OPERATING
21,RID00021,14,Festival Parade,FAMILY_FLAT,2,58,1067,2025-09-13T00:00:00Z,STANDARD,OPERATING
22,RID00022,12,Orbit Rescue,SIMULATOR,4,121,1042,2023-07-18T00:00:00Z,STANDARD,OPERATING
23,RID00023,11,Phantom Expedition,DARK_RIDE,1,81,1306,2025-07-21T00:00:00Z,ENHANCED,OPERATING
24,RID00024,25,Nova Mission,SIMULATOR,2,98,1135,2023-10-02T00:00:00Z,ENHANCED,OPERATING
25,RID00025,8,Coral Surge,WATER_RIDE,2,114,917,2025-04-06T00:00:00Z,STANDARD,OPERATING
26,RID00026,27,Harbor Dash,FAMILY_FLAT,1,54,625,2024-04-17T00:00:00Z,STANDARD,OPERATING
27,RID00027,6,Festival Parade,FAMILY_FLAT,1,44,660,2024-09-05T00:00:00Z,ENHANCED,OPERATING
28,RID00028,26,Carousel Spin,FAMILY_FLAT,2,37,941,2023-01-06T00:00:00Z,STANDARD,OPERATING
29,RID00029,16,Phantom Cavern,DARK_RIDE,1,59,1322,2021-12-18T00:00:00Z,ENHANCED,OPERATING
30,RID00030,20,Lantern Dash,FAMILY_FLAT,1,40,745,2023-08-28T00:00:00Z,STANDARD,OPERATING
31,RID00031,25,Velocity Drop,COASTER,4,122,1000,2022-09-27T00:00:00Z,LIMITED,OPERATING
32,RID00032,17,Carousel Parade,FAMILY_FLAT,2,12,741,2022-11-06T00:00:00Z,ENHANCED,SEASONAL
33,RID00033,25,Harbor Spin,FAMILY_FLAT,1,106,591,2025-09-13T00:00:00Z,STANDARD,OPERATING
34,RID00034,30,Thunder Strike,COASTER,4,129,1757,2022-11-14T00:00:00Z,LIMITED,OPERATING
35,RID00035,26,Carousel Spin,FAMILY_FLAT,1,24,867,2022-06-29T00:00:00Z,ENHANCED,OPERATING
36,RID00036,10,Gravity Plunge,DROP_TOWER,5,133,607,2022-03-04T00:00:00Z,PARTIAL,OPERATING
37,RID00037,23,Sky Tumble,DROP_TOWER,5,136,708,2025-01-01T00:00:00Z,STANDARD,OPERATING
38,RID00038,4,Tidal Run,LOG_FLUME,3,112,829,2022-02-15T00:00:00Z,ENHANCED,OPERATING
39,RID00039,29,Portal Mission,SIMULATOR,3,111,1142,2024-09-02T00:00:00Z,ENHANCED,OPERATING
40,RID00040,26,Nova Rescue,SIMULATOR,4,119,1187,2024-04-09T00:00:00Z,ENHANCED,OPERATING
41,RID00041,3,Timber Run,LOG_FLUME,2,122,770,2023-08-23T00:00:00Z,STANDARD,OPERATING
42,RID00042,7,Coral Slide,WATER_RIDE,4,122,1115,2025-08-27T00:00:00Z,STANDARD,OPERATING
