FeedbackId,FeedbackNumber,Ticket,Park,Ride,SubmittedAt,Channel,Rating,Sentiment,Topic,Summary,RequiresFollowUp
1,FDB0000001,1281,3,,2026-05-07T05:00:00Z,EMAIL,5,POSITIVE,CLEANLINESS,restrooms and public walkways stayed clean all day,False
2,FDB0000002,1899,5,55,2026-05-17T00:00:00Z,EMAIL,2,NEGATIVE,ACCESSIBILITY,the process required too many separate explanations,True
3,FDB0000003,3984,2,,2026-07-07T04:00:00Z,EMAIL,4,POSITIVE,VALUE,the ticket felt worth it once the add-ons were used,False
4,FDB0000004,3614,3,20,2026-06-20T18:45:00Z,EMAIL,5,NEUTRAL,MASCOT_EXPERIENCE,the entertainment team kept the atmosphere lively,False
5,FDB0000005,175,3,,2026-08-07T11:30:00Z,EMAIL,2,NEGATIVE,VALUE,the experience felt expensive once extras were added,True
6,FDB0000006,3975,3,,2026-06-20T17:00:00Z,EMAIL,3,NEGATIVE,FOOD_SERVICE,food pickup lagged behind the quoted collection time,False
7,FDB0000007,1172,6,,2026-06-13T15:00:00Z,MOBILE_SURVEY,3,POSITIVE,CLEANLINESS,restrooms and public walkways stayed clean all day,False
8,FDB0000008,3752,6,,2026-06-24T14:30:00Z,KIOSK,1,NEGATIVE,VALUE,premium access pricing was hard to justify,True
9,FDB0000009,1038,3,,2026-07-02T21:00:00Z,CHATBOT,5,NEUTRAL,CLEANLINESS,restrooms and public walkways stayed clean all day,False
10,FDB0000010,3019,4,62,2026-05-26T23:00:00Z,MOBILE_SURVEY,5,POSITIVE,RIDE_DOWNTIME,the team explained the delay clearly and offered alternatives,False
11,FDB0000011,3576,6,52,2026-07-29T03:30:00Z,MOBILE_SURVEY,4,POSITIVE,WAIT_TIME,posted wait times stayed close to the actual experience,False
12,FDB0000012,2310,2,88,2026-07-15T23:45:00Z,EMAIL,5,POSITIVE,RIDE_DOWNTIME,recovery options made the outage less frustrating,False
13,FDB0000013,3872,3,,2026-05-03T20:15:00Z,SMS,2,NEGATIVE,STAFF_FRIENDLINESS,it took too long to find someone who could help,True
14,FDB0000014,2773,4,77,2026-06-10T11:00:00Z,SMS,4,POSITIVE,WAIT_TIME,posted wait times stayed close to the actual experience,False
15,FDB0000015,2999,2,90,2026-07-09T13:30:00Z,MOBILE_SURVEY,5,NEUTRAL,WAIT_TIME,virtual queue timing was clearer than expected,False
16,FDB0000016,1625,2,,2026-06-13T05:00:00Z,EMAIL,2,NEGATIVE,STAFF_FRIENDLINESS,staff instructions were inconsistent at the ride entrance,True
17,FDB0000017,213,1,95,2026-05-13T01:00:00Z,CHATBOT,2,NEGATIVE,RIDE_DOWNTIME,the ride went down with very little communication,True
18,FDB0000018,2797,2,,2026-08-05T22:30:00Z,MOBILE_SURVEY,3,NEGATIVE,STAFF_FRIENDLINESS,it took too long to find someone who could help,False
19,FDB0000019,2917,3,,2026-05-28T09:15:00Z,MOBILE_SURVEY,2,NEGATIVE,VALUE,premium access pricing was hard to justify,True
20,FDB0000020,3649,2,,2026-07-18T18:45:00Z,EMAIL,3,POSITIVE,FOOD_SERVICE,food service stayed efficient even during a busy window,False
21,FDB0000021,2879,5,,2026-05-25T01:00:00Z,MOBILE_SURVEY,5,POSITIVE,STAFF_FRIENDLINESS,guest services solved a problem without a long escalation,False
22,FDB0000022,1616,5,,2026-07-14T06:00:00Z,EMAIL,5,POSITIVE,CLEANLINESS,cleanup crews were visible without getting in the way,False
23,FDB0000023,3496,3,82,2026-08-02T14:30:00Z,EMAIL,5,POSITIVE,RIDE_DOWNTIME,staff kept the downtime announcement short and well managed,False
24,FDB0000024,577,3,57,2026-06-18T22:00:00Z,KIOSK,4,NEUTRAL,ACCESSIBILITY,support options made the visit much easier to manage,False
25,FDB0000025,404,3,,2026-07-10T19:45:00Z,MOBILE_SURVEY,4,POSITIVE,STAFF_FRIENDLINESS,"operators were calm, friendly, and clear with instructions",False
26,FDB0000026,2483,5,,2026-05-22T19:00:00Z,EMAIL,4,NEUTRAL,CLEANLINESS,the park looked polished even during the afternoon rush,False
27,FDB0000027,1167,3,78,2026-08-18T03:15:00Z,MOBILE_SURVEY,3,POSITIVE,RIDE_DOWNTIME,the team explained the delay clearly and offered alternatives,False
28,FDB0000028,2683,5,36,2026-06-29T12:30:00Z,EMAIL,5,NEUTRAL,ACCESSIBILITY,accessibility staff explained the process clearly and respectfully,False
29,FDB0000029,2456,1,,2026-05-03T09:00:00Z,KIOSK,3,POSITIVE,CLEANLINESS,restrooms and public walkways stayed clean all day,False
30,FDB0000030,422,5,,2026-05-13T21:00:00Z,CHATBOT,2,NEGATIVE,VALUE,the experience felt expensive once extras were added,True
31,FDB0000031,3119,3,97,2026-06-14T23:00:00Z,MOBILE_SURVEY,1,NEGATIVE,RIDE_DOWNTIME,downtime disrupted the visit more than expected,True
