ZoneId,ZoneCode,Park,ZoneName,Theme,Environment,FamilyIntensity,CapacityClass,IndoorFlag
1,ZON00001,4,Adventure Harbor,ADVENTURE_HARBOR,OUTDOOR,BALANCED,MEDIUM,False
2,ZON00002,1,Cosmic Boardwalk,COSMIC_BOARDWALK,OUTDOOR,HIGH,MEDIUM,False
3,ZON00003,3,Dinosaur Valley,DINOSAUR_VALLEY,HYBRID,FAMILY,MEDIUM,False
4,ZON00004,2,Enchanted Gardens,ENCHANTED_GARDENS,OUTDOOR,LOW,MEDIUM,False
5,ZON00005,5,Founders Plaza,FOUNDERS_PLAZA,HYBRID,LOW,MEDIUM,False
6,ZON00006,2,Lagoon Lights,LAGOON_LIGHTS,OUTDOOR,BALANCED,MEDIUM,False
7,ZON00007,3,Pixel Port,PIXEL_PORT,INDOOR,BALANCED,LARGE,True
8,ZON00008,3,Roaring Canyon,ROARING_CANYON,OUTDOOR,HIGH,MEDIUM,False
9,ZON00009,5,Skyline Station,SKYLINE_STATION,INDOOR,FAMILY,MEDIUM,True
10,ZON00010,5,Storybook Commons,STORYBOOK_COMMONS,HYBRID,LOW,LARGE,False
11,ZON00011,6,Sunburst Shores,SUNBURST_SHORES,OUTDOOR,FAMILY,MEDIUM,False
12,ZON00012,5,Volt Works,VOLT_WORKS,INDOOR,HIGH,LARGE,True
13,ZON00013,6,Adventure Harbor,ADVENTURE_HARBOR,OUTDOOR,BALANCED,LARGE,False
14,ZON00014,6,Cosmic Boardwalk,COSMIC_BOARDWALK,OUTDOOR,HIGH,MEDIUM,False
15,ZON00015,4,Dinosaur Valley,DINOSAUR_VALLEY,HYBRID,FAMILY,MEDIUM,False
16,ZON00016,2,Enchanted Gardens,ENCHANTED_GARDENS,OUTDOOR,LOW,MEDIUM,False
17,ZON00017,5,Founders Plaza,FOUNDERS_PLAZA,HYBRID,LOW,SMALL,False
18,ZON00018,4,Lagoon Lights,LAGOON_LIGHTS,OUTDOOR,BALANCED,MEDIUM,False
19,ZON00019,5,Pixel Port,PIXEL_PORT,INDOOR,BALANCED,LARGE,True
20,ZON00020,4,Roaring Canyon,ROARING_CANYON,OUTDOOR,HIGH,SMALL,False
21,ZON00021,5,Skyline Station,SKYLINE_STATION,INDOOR,FAMILY,SMALL,True
22,ZON00022,5,Storybook Commons,STORYBOOK_COMMONS,HYBRID,LOW,MEDIUM,False
23,ZON00023,1,Sunburst Shores,SUNBURST_SHORES,OUTDOOR,FAMILY,MEDIUM,False
24,ZON00024,6,Volt Works,VOLT_WORKS,INDOOR,HIGH,MEDIUM,True
25,ZON00025,1,Adventure Harbor,ADVENTURE_HARBOR,OUTDOOR,BALANCED,MEDIUM,False
26,ZON00026,3,Cosmic Boardwalk,COSMIC_BOARDWALK,OUTDOOR,HIGH,MEDIUM,False
27,ZON00027,1,Dinosaur Valley,DINOSAUR_VALLEY,HYBRID,FAMILY,SMALL,False
28,ZON00028,6,Enchanted Gardens,ENCHANTED_GARDENS,OUTDOOR,LOW,LARGE,False
29,ZON00029,3,Founders Plaza,FOUNDERS_PLAZA,HYBRID,LOW,MEDIUM,False
30,ZON00030,2,Lagoon Lights,LAGOON_LIGHTS,OUTDOOR,BALANCED,SMALL,False
