RideMaintenanceId,MaintenanceNumber,Ride,ScheduledStart,ActualStart,ActualEnd,MaintenanceType,Status,Severity,DowntimeHours,IssueSummary,VendorName
1,MNT0000001,35,2026-08-19T04:00:00Z,2026-08-19T07:00:00Z,2026-08-19T11:40:48Z,SENSOR_CALIBRATION,COMPLETED,HIGH,4.68,ride control panel triggered a protective shutdown during load,InHouseOps
2,MNT0000002,11,2026-05-12T04:00:00Z,2026-05-12T13:00:00Z,,RESTRAINT_TEST,IN_PROGRESS,MEDIUM,6.92,ride control panel triggered a protective shutdown during load,LiftWorks
3,MNT0000003,20,2026-07-23T12:00:00Z,2026-07-23T14:00:00Z,,COSMETIC,IN_PROGRESS,MEDIUM,6.6,guest flow backed up near accessibility entrance and dispatch lane,InHouseOps
4,MNT0000004,72,2026-07-08T21:00:00Z,2026-07-08T23:00:00Z,2026-07-09T00:28:48Z,EMERGENCY_REPAIR,COMPLETED,CRITICAL,1.48,ride control panel triggered a protective shutdown during load,ParkTech
5,MNT0000005,50,2026-07-15T13:00:00Z,,,EMERGENCY_REPAIR,SCHEDULED,HIGH,3.83,ride dispatch paused after restraint sensor mismatch,Apex Systems
6,MNT0000006,47,2026-06-13T02:00:00Z,2026-06-13T09:00:00Z,2026-06-13T16:19:12Z,EMERGENCY_REPAIR,COMPLETED,HIGH,7.32,vehicle cycle stopped for repeated lap-bar fault signal,MotionLab
7,MNT0000007,37,2026-05-24T05:00:00Z,2026-05-24T12:00:00Z,2026-05-24T13:32:24Z,RESTRAINT_TEST,COMPLETED,MEDIUM,1.54,ride control panel triggered a protective shutdown during load,ParkTech
8,MNT0000008,57,2026-07-29T11:00:00Z,2026-07-29T11:00:00Z,2026-07-29T18:30:00Z,COSMETIC,DELAYED,LOW,5.5,guest flow backed up near accessibility entrance and dispatch lane,LiftWorks
9,MNT0000009,19,2026-08-21T06:00:00Z,2026-08-21T15:00:00Z,2026-08-21T18:23:24Z,COSMETIC,COMPLETED,LOW,3.39,guest flow backed up near accessibility entrance and dispatch lane,LiftWorks
10,MNT0000010,52,2026-08-17T11:00:00Z,,,INSPECTION,SCHEDULED,MEDIUM,2.32,queue line stalled after merge-point crowding increased wait times,MotionLab
11,MNT0000011,72,2026-06-01T13:00:00Z,2026-06-01T22:00:00Z,2026-06-02T07:18:36Z,EMERGENCY_REPAIR,DELAYED,HIGH,7.31,vehicle cycle stopped for repeated lap-bar fault signal,LiftWorks
12,MNT0000012,50,2026-08-02T16:00:00Z,2026-08-02T21:00:00Z,2026-08-03T01:06:00Z,INSPECTION,COMPLETED,MEDIUM,4.1,queue line stalled after merge-point crowding increased wait times,ParkTech
13,MNT0000013,18,2026-06-20T17:00:00Z,2026-06-21T00:00:00Z,2026-06-21T02:15:36Z,RESTRAINT_TEST,COMPLETED,HIGH,2.26,vehicle cycle stopped for repeated lap-bar fault signal,TrackLine
14,MNT0000014,86,2026-05-06T02:00:00Z,2026-05-06T06:00:00Z,2026-05-06T07:59:24Z,COSMETIC,COMPLETED,MEDIUM,1.99,guest flow backed up near accessibility entrance and dispatch lane,Apex Systems
15,MNT0000015,12,2026-08-23T06:00:00Z,2026-08-23T14:00:00Z,2026-08-23T21:33:36Z,EMERGENCY_REPAIR,COMPLETED,CRITICAL,7.56,vehicle cycle stopped for repeated lap-bar fault signal,Apex Systems
16,MNT0000016,109,2026-06-10T02:00:00Z,2026-06-10T02:00:00Z,2026-06-10T04:30:00Z,SENSOR_CALIBRATION,COMPLETED,HIGH,2.5,ride dispatch paused after restraint sensor mismatch,MotionLab
17,MNT0000017,4,2026-08-22T12:00:00Z,,,INSPECTION,SCHEDULED,MEDIUM,4.12,guest flow backed up near accessibility entrance and dispatch lane,ParkTech
18,MNT0000018,106,2026-07-04T00:00:00Z,2026-07-04T09:00:00Z,,SENSOR_CALIBRATION,IN_PROGRESS,MEDIUM,2.36,ride control panel triggered a protective shutdown during load,ParkTech
19,MNT0000019,63,2026-06-22T20:00:00Z,2026-06-23T04:00:00Z,2026-06-23T09:03:00Z,INSPECTION,COMPLETED,LOW,5.05,queue line stalled after merge-point crowding increased wait times,MotionLab
20,MNT0000020,25,2026-07-27T02:00:00Z,2026-07-27T06:00:00Z,2026-07-27T07:16:12Z,COSMETIC,COMPLETED,LOW,1.27,boarding lane disruption caused temporary hold at the platform,ParkTech
21,MNT0000021,112,2026-07-20T17:00:00Z,2026-07-20T17:00:00Z,2026-07-20T18:51:36Z,RESTRAINT_TEST,COMPLETED,HIGH,1.86,vehicle cycle stopped for repeated lap-bar fault signal,InHouseOps
22,MNT0000022,20,2026-07-06T13:00:00Z,2026-07-06T17:00:00Z,,SENSOR_CALIBRATION,IN_PROGRESS,HIGH,3.54,vehicle cycle stopped for repeated lap-bar fault signal,InHouseOps
23,MNT0000023,4,2026-07-28T18:00:00Z,2026-07-28T19:00:00Z,2026-07-28T23:26:24Z,RESTRAINT_TEST,COMPLETED,MEDIUM,4.44,ride dispatch paused after restraint sensor mismatch,LiftWorks
24,MNT0000024,111,2026-06-21T06:00:00Z,,,RESTRAINT_TEST,SCHEDULED,HIGH,2.29,ride control panel triggered a protective shutdown during load,MotionLab
25,MNT0000025,42,2026-06-30T12:00:00Z,2026-06-30T21:00:00Z,,INSPECTION,IN_PROGRESS,MEDIUM,2.73,boarding lane disruption caused temporary hold at the platform,LiftWorks
26,MNT0000026,54,2026-08-13T22:00:00Z,,,COSMETIC,SCHEDULED,LOW,4.98,boarding lane disruption caused temporary hold at the platform,MotionLab
27,MNT0000027,10,2026-07-25T01:00:00Z,2026-07-25T07:00:00Z,,RESTRAINT_TEST,IN_PROGRESS,HIGH,2.73,ride control panel triggered a protective shutdown during load,MotionLab
28,MNT0000028,5,2026-06-04T21:00:00Z,,,INSPECTION,SCHEDULED,LOW,4.23,boarding lane disruption caused temporary hold at the platform,TrackLine
29,MNT0000029,71,2026-06-17T21:00:00Z,,,SENSOR_CALIBRATION,SCHEDULED,HIGH,2.98,vehicle cycle stopped for repeated lap-bar fault signal,ParkTech
30,MNT0000030,103,2026-08-15T15:00:00Z,2026-08-15T22:00:00Z,2026-08-16T03:29:24Z,EMERGENCY_REPAIR,COMPLETED,CRITICAL,5.49,vehicle cycle stopped for repeated lap-bar fault signal,InHouseOps
31,MNT0000031,96,2026-08-23T18:00:00Z,2026-08-24T02:00:00Z,2026-08-24T06:16:12Z,INSPECTION,COMPLETED,MEDIUM,4.27,queue line stalled after merge-point crowding increased wait times,MotionLab
32,MNT0000032,109,2026-08-24T15:00:00Z,2026-08-24T19:00:00Z,2026-08-24T23:37:12Z,RESTRAINT_TEST,COMPLETED,HIGH,4.62,ride control panel triggered a protective shutdown during load,Apex Systems
33,MNT0000033,21,2026-07-26T01:00:00Z,,,INSPECTION,SCHEDULED,LOW,4.71,boarding lane disruption caused temporary hold at the platform,InHouseOps
34,MNT0000034,80,2026-08-15T05:00:00Z,,,INSPECTION,SCHEDULED,LOW,5.28,boarding lane disruption caused temporary hold at the platform,MotionLab
35,MNT0000035,61,2026-07-25T03:00:00Z,2026-07-25T03:00:00Z,2026-07-25T07:29:24Z,SENSOR_CALIBRATION,DELAYED,MEDIUM,2.49,ride dispatch paused after restraint sensor mismatch,LiftWorks
36,MNT0000036,3,2026-06-22T00:00:00Z,2026-06-22T03:00:00Z,2026-06-22T04:42:00Z,INSPECTION,COMPLETED,MEDIUM,1.7,boarding lane disruption caused temporary hold at the platform,Apex Systems
37,MNT0000037,109,2026-06-06T00:00:00Z,2026-06-06T00:00:00Z,2026-06-06T02:45:36Z,INSPECTION,COMPLETED,MEDIUM,2.76,queue line stalled after merge-point crowding increased wait times,Apex Systems
38,MNT0000038,67,2026-05-19T01:00:00Z,2026-05-19T06:00:00Z,2026-05-19T10:39:00Z,RESTRAINT_TEST,DELAYED,MEDIUM,2.65,vehicle cycle stopped for repeated lap-bar fault signal,LiftWorks
39,MNT0000039,88,2026-07-20T21:00:00Z,2026-07-21T00:00:00Z,2026-07-21T03:55:48Z,RESTRAINT_TEST,COMPLETED,MEDIUM,3.93,ride control panel triggered a protective shutdown during load,MotionLab
